situacion,move_id,altura,startup,latency,agachado,vida_pct,ronda,rondas_propias,rondas_rival,seg_restantes,online,precrouch,nth
true5050,db4,low,18,17,1,16,3,1,1,6,0,0,3
timing,hellsweep,low,24,,0,76,3,1,1,50,0,0,1
timing,db4,low,25,22,1,51,3,1,1,47,0,0,2
timing,d4,low,26,24,1,35,3,1,1,44,0,0,3
timing,FC df4,low,27,21,1,86,3,1,1,42,0,0,1
timing,hellsweep,low,24,,0,87,3,1,1,39,0,0,2
timing,db4,low,25,21,1,50,3,1,1,36,0,0,3
timing,d4,low,26,21,1,45,3,1,1,33,0,0,1
timing,FC df4,low,27,,0,45,3,1,1,30,0,0,2
timing,hellsweep,low,24,,0,82,3,1,1,28,0,0,3
timing,db4,low,25,,0,88,3,1,1,25,0,0,1
timing,d4,low,26,26,1,40,3,1,1,22,0,0,2
timing,FC df4,low,27,22,1,57,3,1,1,19,0,0,3
timing,hellsweep,low,24,23,1,89,3,1,1,16,0,0,1
timing,db4,low,25,22,1,88,3,1,1,14,0,0,2
timing,d4,low,26,,0,59,3,1,1,11,0,0,3
timing,FC df4,low,27,23,1,50,3,1,1,8,0,0,1
